n_16289_hydro,n_14194_hydro,n_15622_hydro,n_29021_hydro,n_6646_hydro,n_6647_hydro,n_10052_hydro
205.51,242.52,364.59,350.51,534.35,338.4,580.51
72.79,164.24,339.57,285.49,636.5,409.69,512.44
132.8,129.09,322.35,273.59,640.54,414.74,455.41
65.34,90.61,202.19,176.85,657.69,444.65,452.68
21.24,76.44,115.74,200.38,493.62,317.2,412.29
133.72,123,346,291.49,811.02,546.85,545.82
477.42,495.64,746.19,557.79,1199.6,786.24,885.76
258.83,244.77,458.39,415.05,833.92,544.58,962.97
191.21,201.17,303.86,319.36,683.93,447.74,513.78
89.71,206.11,335.93,303.61,682.1,449.02,550.83
239.72,145.85,293.42,250.46,636.38,415.6,465.5
142.93,241.33,363.2,317.24,719.53,469.76,575.42
143.38,182.84,276.28,232.56,638.3,422.98,703.96
322.85,283.68,458.02,364.93,850.19,562.88,663.22
122.6,143.55,322.25,271.93,615.09,397.02,724.75
132.68,229.34,344.35,351.19,768.87,504.88,606.03
128.93,151.04,240.49,206.73,528.39,338.92,447.3
107.71,110.85,330.9,279.38,640.71,423.61,571.96
143.9,141.17,217.89,223.47,527.1,336.12,442.7
200.44,136.52,209.14,181.63,574.44,387.02,372.95
257.36,261.63,432.59,358.61,762.47,500.28,496.11
143.89,94.36,262.97,250.37,566.58,361.66,705.18
30.18,196.19,295.99,261.17,596.2,389.52,372.5
239.67,175.06,268.45,226.41,640.76,430.47,536.67
21.05,153.13,234.76,202.11,571.19,376.8,483.99
137.14,157.71,241.88,240.47,1253.18,890.08,983.48
144.82,192.65,288.36,249.27,745.2,507.26,507.44
237.9,203.49,330.8,264.37,641.38,427.13,515.89
176.56,206.95,313.85,277.68,612.84,399.94,655.81
167.31,154.29,239.56,219.47,520.32,330.73,438.83
114.21,135.9,221.12,190.1,488.78,319.43,423.52
105.46,138.09,313.86,266.45,589.33,383.44,563.18
64.24,40.73,88.3,98.15,64.09,31.98,141.07
73.14,57.49,246.27,209.21,233.32,148.8,258.71
239.16,226.51,329.9,277.97,353.29,229.41,364.69
39.52,124.14,204.87,178.09,118.44,59.27,169.57
21,168.6,277.18,253.86,462.29,317.79,425.29
67.55,145.42,211.59,322.97,350.16,217.62,347.42
21.03,236.36,542.95,439.68,937.56,661.72,1375.45
305.37,356.73,536.02,459.6,650.05,430.56,872.39
199,203.28,516.88,497.04,703.23,471.64,841.26
343.92,510.29,817.46,564.99,1000.64,689.62,1048.17
140.97,313.43,644.1,564.72,717.95,468.06,744.68
201.06,284.46,417.69,440.6,556.48,366.24,625.65
202.64,245.59,365.24,331.21,402.66,258.53,378.68
80.67,111.81,323.45,283.98,288.8,175.55,337.79
145.38,137.65,201.67,225.65,190.36,108.99,219.29
146.41,167.49,252.17,240.17,360.61,239.17,660.93
82.78,274.71,452.98,385.69,673.29,460.05,719.82
147.96,125.5,255.15,215.03,176.56,98.67,436.8
82.59,141.03,193.09,170.5,152.91,88.75,197.98
146.08,218.32,323.07,297.49,297.62,182.7,405.23
147.05,137.05,273.85,237.25,208.62,119.97,1039.01
83.34,89.71,210.59,183.89,293.88,197.43,690.71
148.92,160.72,316.91,266.05,490.06,341.97,453.9
88.88,232.37,342.83,317.11,534.24,367.44,743.94
212.79,207.53,331.14,264.18,253.12,150.93,490.84
335.97,624.47,826.3,619.92,1068.09,727.19,1271.88
728.84,279.16,527.19,554.98,64.41,90.63,1496.85
731.01,808.09,972.24,607.78,3940.28,1585.06,1506.02
21.3,695.53,1034.04,634.74,891.43,1568.01,696.72
608.33,272.96,693.21,634.18,923.49,549.32,1196.46
455.17,458.03,1021.32,632.18,1307.61,832.21,1530.03
732.55,612.9,1021.78,634.19,64.61,30.91,1492.67
731.36,717.52,1024.42,629.66,4506.1,1593.35,1451.39
21.29,434.79,1026.87,634.65,661.23,1482.74,1530.03
288.16,289.32,662.68,633.34,854.86,460.41,812.74
628.53,336.19,761.03,630.91,1890.37,1217.43,1530.03
626.2,372.4,838.55,635.66,960.89,618.71,1231.05
147.71,340.57,838.84,634.75,1091.36,723.32,1412.41
521.81,312.03,622.23,630.26,881.15,576.05,1407.75
256.92,301.34,798.58,635.74,881.3,577.82,795.66
21.26,509.4,799.29,635.73,881.45,577.77,824.62
21.56,615.94,1029.65,626.45,555.04,354.98,1397.25
746.38,694.9,1028.43,630.88,64.71,31.92,124.08
745.78,633.95,1033.91,634.85,64.87,56.95,1512.71
744.45,455.13,1026.51,635.5,1276.06,830.92,947.73
109.3,61.07,456.19,636.31,2161.77,1393.89,1412.41
355.43,366.99,594.66,630.71,2162.01,1402.99,1412.41
587.96,438.03,840.26,635.8,1978.93,1301.18,1412.41
269.66,216.37,399.86,554.11,687.67,436.5,838.75
21.64,218.21,350.02,396.24,64.83,31.24,1530.03
21.73,361.21,1025.6,626.56,64.9,46.94,1530.03
745.53,541,457.21,624.7,65.01,31.78,1426.76
60.59,160.89,1027.82,632.47,2032.16,1312.65,1390.9
113.97,329.42,543.48,635.99,1854.99,1201.91,1395.58
641.75,382.4,837.52,635,2269.97,1427.02,1405.45
558.91,355.08,835.74,634.38,1412.17,922.68,1408.39
637.43,422.38,720.4,632.89,1802.42,1182.3,1398.11
438.9,299.14,546.88,560.5,833.06,551.89,833.53
490.24,337.64,645.4,615.68,1098.96,722.85,1028.52
631.66,496.26,834.36,620.84,1679.32,1193.55,1411.8
546.38,366.7,830.75,627.8,879.95,570.85,1365.4
92.23,174.76,645.44,570.99,690.71,446.35,885.58
105.99,172.06,272.87,490.04,580.85,371.4,517.45
442.53,298.07,473.04,426.56,492.36,304.38,278.64
0,161.63,252.96,211.2,257.76,162.86,335.93
121.96,153.19,309.12,357.42,410.36,259.06,570.24
0,131.59,343.68,368.82,401.85,239.47,344.84
52.07,202.36,469.18,381.71,424.93,254.33,537.89
0,140.07,217.77,296.33,280.56,166.89,231.67
211.24,176.13,395.62,324.36,341.74,205.34,254.6
22.39,175.92,271.53,229.3,301.44,194.16,264.25
0,115.08,177.97,165.5,299.45,199.94,244.64
199.1,215.6,451.54,401.61,451.24,277.41,690.82
198.18,210.95,649.12,508.18,625.09,397.45,763.5
187.55,265.34,407.94,437.79,561.54,361.64,538.54
73.05,198.97,352.3,456.08,537.93,334.31,497.89
0,113.09,349.01,283.76,259.72,152.51,354.31
269,277.78,426.04,349.8,623.67,418.8,519.58
0,17.69,39.87,54.64,101.62,65.35,375.72
0,243.63,608.62,483.27,625.12,401.83,464.44
0,146.77,220.7,306.46,301.54,177.37,536.54
5.16,216.46,331.49,276.27,292.02,173.22,279.6
0,82.1,271.04,234.27,279.93,173.61,444.51
142.32,231.02,352.2,348.58,366.64,220.99,227.92
43.6,133.94,210.03,200.22,279.89,178.74,277.68
36.69,32.8,90.49,93.01,172.72,115.19,200.71
312.07,401.57,613.14,500.88,612.7,393.23,1003.22
193.93,221.31,595.35,530.27,567.15,424.62,520.15
55.57,174.8,318.02,406.61,392.61,273.52,558.03
0,17.83,0,0,65.1,31.98,124.08
36.83,57.52,0,0,65.11,31.97,200.71
329.44,185.9,215.17,190.22,280.6,185.24,200.71
455.19,209.11,298.66,273.26,389.09,256.51,239.02
0,238.52,196.33,143,65.2,31.86,124.08
0,103.89,159.9,242.22,65.23,31.65,124.08
0,155.15,293.48,254.1,65.27,31.42,124.08
92.89,139.14,320.9,304.31,78.3,49.61,124.08
36.88,130.38,239.63,234.11,65.37,31.14,200.71
36.88,204.87,412.32,324.89,65.37,31.09,200.71
36.86,161.21,274.65,257.63,65.37,31.1,200.71
0,146.52,440.41,356.05,65.37,30.94,245.24
7.72,64.59,72.35,138.06,65.37,30.75,132.36
0,152.65,315.21,329.47,65.37,30.71,134.42
0,149.11,252.66,192.3,65.37,30.66,317.04
37.08,88.38,520.72,413.32,65.37,30.64,278.71
55.24,87.64,91.14,147.25,65.37,32.11,256.43
37.09,87.79,209.98,207.52,65.37,30.61,200.71
154.17,305.62,591.97,455.18,501.37,79.47,528.79
27.23,46.57,552.4,510.68,741.55,31.68,172.62
194.58,224.5,309.68,276.03,436.62,145.69,144.73
265.17,217.96,340.09,298.32,567.76,449.7,632.12
204.02,133.53,333.28,318.11,436.71,297.68,393.88
37.19,203.29,409.02,383.15,545.91,399.61,501.64
107.93,118.63,139.38,119,283.86,191.41,509.76
136.7,193,645.1,601.24,873.43,665.77,204.18
196.26,241.38,364.57,313.46,414.89,285.82,763.04
35.08,171.87,293.21,240.21,414.89,294.98,385.68
228.39,130.53,203.12,301.92,414.89,294.14,606.05
174.53,244.15,387.18,293.73,414.89,296.69,396.48
267.09,157.61,322.17,294.7,393.06,269.57,452.64
37.16,223.3,437.9,372.49,502.23,348.28,455.32
204.08,109.68,343.91,282.13,436.72,303.16,286.1
126.44,183.65,304.37,328.69,436.72,304.57,535.96
107.81,157.5,354.79,282.63,436.72,304.14,330.74
41.06,156.23,365.56,291.11,436.72,304.12,363.61
72.79,164.53,262.8,416.62,589.6,434.66,683.87
37.18,124.52,206.16,161.34,305.7,198.38,298.25
245.73,109.03,324.81,345.02,480.4,348.55,444.94
318.77,353.4,602.44,457.24,720.62,556.55,868.69
236.84,175.2,362.15,378.9,545.89,362.74,534.65
164.4,203.08,462.76,343.98,502.24,360.47,539.74
41.41,85.5,354.84,399.37,589.59,422.87,470.21
201.63,43.62,77.82,120.2,130.98,215.23,466.91
162.83,298.45,464.81,466.64,742.27,383.87,435.89
37.17,73.51,126.48,65.6,64.54,184.77,318.62
298.39,154.11,586.1,448.76,698.6,343.54,592.39
0,127.91,261.58,182.86,218.36,138.72,351.82
79.8,186.4,299.78,310.96,414.89,296.78,335.79
86.16,58.27,82.79,141.99,152.85,80.89,644.71
108.14,264.54,419.49,507.7,720.62,567.54,379.37
120.99,47.44,305.51,236.17,327.54,194.33,293.51
86.59,253.15,371.05,294.58,524.08,403.05,498.54
15.35,130.68,206.72,158.52,218.35,125.1,760.23
245.41,306.37,494.77,397.67,567.76,424.54,361.99
224.04,209.87,373.91,270.77,349.37,212.93,466
293.63,228.9,408.55,346.87,502.24,359.05,596.02
284.65,480.86,851.29,632.63,917.09,677.29,731.19
251.64,217.64,358.65,302.48,436.72,304.01,485.83
37.18,130.68,228.28,162.24,240.19,151.21,248.78
164.92,79.09,293.63,242.73,349.39,248.29,248.19
212.4,148.45,212.47,195.8,262.02,147.1,453.68
346.73,270.73,505.63,399.95,567.75,414.47,557.83
88.34,40.88,91.17,97.31,105.7,190.4,299.38
37.19,238.88,361.9,308.02,436.62,132.12,279.2
216.57,121.84,381.39,298.33,502.25,387.05,482.52
119.63,179.8,292.28,212.21,371.2,243.28,250.77
234.61,220.52,559.61,455.39,698.78,528.49,837.83
20.35,34.24,66.24,240.83,305.68,167.93,411.9
41.07,193.54,342.56,261.84,327.55,217.53,315.11
146.87,157.34,244.6,203.96,371.22,260.27,366.91
133.78,139.6,320.72,258.64,393.06,269.8,438.73
182.76,172.98,291.9,241.64,283.86,172.33,259.47
59.15,183.38,312.7,284.6,502.24,379.85,519.37
202.15,190.81,595.72,486.48,786.08,572.38,613.76
113.12,177.41,392.24,325.16,393.07,278.73,393.7
41.41,124.71,261.98,192.21,240.17,114.48,320.55
104.89,127.53,197.57,289.64,393.06,278.64,583.3
96.12,79.16,212.01,227.84,283.85,150.54,242.88
244.26,261.15,417.67,368.04,611.44,464.65,561.83
37.11,214.82,413.05,310.9,414.89,268.55,548.58
310.76,130.82,408.6,323.45,611.42,440.89,826.12
191.92,172.91,686.24,521.04,720.61,533.67,832.13
162.51,176.37,228.44,194.65,305.7,186.17,279.99
146.94,166.4,262.22,334.74,458.56,321.3,335.6
89.78,124.93,195.79,216.78,262.03,160.08,317.05
37.18,85.66,129.96,145.04,174.66,85.99,555.33
68.6,38.03,565.13,442.7,676.96,532.64,300.85
84.21,185.67,331.22,211.91,371.21,237.35,295.02
149.61,206.22,369.92,288.79,371.22,247.88,504.86
41.06,187.41,408.32,355.68,524.07,356.67,452.15
209.65,366.66,580.57,441.79,786.09,586.73,881.19
163.17,142,327.05,290.94,371.22,260.16,512.29
183.02,242.01,386.37,315.41,458.54,295.53,280.87
37.12,218.01,422.4,364.23,502.25,362.23,521.41
6.49,91.7,350.77,271.27,545.91,402.17,736.5
112.47,136.41,277.56,228.28,283.86,172.66,268.89
136.19,103.8,181.51,176.62,218.34,124.22,205.8
75.11,55.48,77.67,67.37,131.01,76.38,640.52
112.06,244.83,387.25,396.37,567.76,441.87,626.12
100.73,127.82,213.15,141.16,262.02,157.45,256.38
94.17,124.97,208.69,178.93,327.55,238,214.66
95.26,101.06,639,488.8,698.77,522.07,663.49
28.93,35.03,190.32,144.8,174.66,67.91,359.42
67.12,215.73,126.42,115.7,240.2,171.92,268.79
84.22,103.96,159.22,140.09,152.85,81.38,133.91
43.91,104.16,163.32,143.68,152.85,90.99,124.08
154.66,203.12,388.52,404.17,589.6,450.95,539.08
37.17,82.6,91.14,180.31,218.34,108.24,200.71
