HawRiverHydro,HighShoalsHydroNC,CowansFord,AvalonHydropower,BearCreekDam,CedarCliff,Chatuge,Cheoah,FontanaDam,FranklinNC,HiwasseeDam,Mission,Nantahala,QueensCreek,Santeetlah,TennesseeCreek,Thorpe,Tuckasegee,Rhodhiss,OxfordDam,HighRockHydro,FallsHydro,NarrowsNC,TuckertownHydro,Bridgewater,LookoutShoals,JordanHydroelectricProject,MountainIsland,Blewett,RoanokeRapids,Gaston,RockyMountMill,Tillery,LockvilleHydropower,TurnerShoals,Tuxedo,LakeLure,IvyRiverHydro,MarshallDam,MetropolitanSewerageDistrict,Walters
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.467264082,0.560716898,109.0282858,0.373811266,2.803584492,1.993660083,4.111923921,68.53206535,79.34144111,0.311509388,51.58595465,0.560716898,13.45720556,0.436113143,14.01792246,3.36430139,6.72860278,0.934528164,7.943489393,11.21433797,10.2798098,9.781394782,33.89222141,13.08339429,8.628810046,8.036942209,1.370641307,18.69056328,29.4687881,0,0,0,0,0,0,0,0,0,0,0,0
0.829370885,0.995245062,193.5198732,0.663496708,4.976225311,3.53864911,7.298463789,121.6410632,140.8271763,0.552913923,91.56254572,0.995245062,23.88588149,0.774079493,24.88112655,5.971470373,11.94294075,1.65874177,14.09930505,19.90490124,18.24615947,17.3614972,60.15703487,23.22238478,15.31571568,14.26517922,2.432821263,33.17483541,52.30565716,0,0,0,0,0,0,0,0,0,0,0,0
0.831199707,0.997439649,193.9465984,0.664959766,4.987198244,3.546452085,7.314557425,121.9092904,141.1377103,0.554133138,91.7644477,0.997439649,23.93855157,0.775786394,24.93599122,5.984637893,11.96927579,1.662399415,14.13039503,19.94879298,18.28639356,17.39978054,60.28968544,23.27359181,15.34948793,14.29663497,2.438185808,33.2479883,52.42099488,0,0,0,0,0,0,0,0,0,0,0,0
0.823884418,0.988661302,192.2396976,0.659107535,4.943306511,3.515240185,7.250182882,120.8363814,139.8955743,0.549256279,90.9568398,0.988661302,23.72787125,0.768958791,24.71653255,5.931967813,11.86393563,1.647768837,14.00603511,19.77322604,18.12545721,17.24664716,59.75908315,23.06876372,15.21439893,14.170812,2.416727627,32.95537674,51.95964399,0,0,0,0,0,0,0,0,0,0,0,0
0.789136796,0.946964155,184.131919,0.631309437,4.734820775,3.366983663,6.944403804,115.7400634,133.9954279,0.526091197,87.12070227,0.946964155,22.72713972,0.736527676,23.67410388,5.681784931,11.36356986,1.578273592,13.41532553,18.9392831,17.36100951,16.51926359,57.23872226,22.09583029,14.57272616,13.57315289,2.314801268,31.56547184,49.76822726,0,0,0,0,0,0,0,0,0,0,0,0
0.70226774,0.842721287,163.8624726,0.561814192,4.213606437,2.996342356,6.179956108,102.9992685,119.2450622,0.468178493,77.53035845,0.842721287,20.2253109,0.65544989,21.06803219,5.056327725,10.11265545,1.404535479,11.93855157,16.85442575,15.44989027,14.70080468,50.93782004,19.66349671,12.96854426,12.07900512,2.059985369,28.09070958,44.28968544,0,0,0,0,0,0,0,0,0,0,0,0
0.416057059,0.499268471,97.07998049,0.332845647,2.496342356,1.775176786,3.661302121,61.02170202,70.64648866,0.277371373,45.93269934,0.499268471,11.98244331,0.388319922,12.48171178,2.995610827,5.991221653,0.832114119,7.072970007,9.985369422,9.153255304,8.709461107,30.17800536,11.64959766,7.683187028,7.156181419,1.22043404,16.64228237,26.23933187,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.082297001,0.098756401,19.2026335,0.065837601,0.493782004,0.35113387,0.724213606,12.07022677,13.97403072,0.054864667,9.085588881,0.098756401,2.370153621,0.076810534,2.468910022,0.592538405,1.185076811,0.164594001,1.399049012,1.975128018,1.810534016,1.722750549,5.969275786,2.30431602,1.51975128,1.415508413,0.241404535,3.291880029,5.190197513,0,0,0,0,0,0,0,0,0,0,0,0
0.420629115,0.504754938,98.14679347,0.336503292,2.523774689,1.794684223,3.701536211,61.69227018,71.4228237,0.28041941,46.43745428,0.504754938,12.11411851,0.392587174,12.61887345,3.028529627,6.057059254,0.84125823,7.150694952,10.09509876,9.253840527,8.805169471,30.5096318,11.77761522,7.767617654,7.234820775,1.233845404,16.82516459,26.52767618,0,0,0,0,0,0,0,0,0,0,0,0
