n_319_nuc,n_6652_nuc,n_18689_nuc
829.9544079,2422.098007,1748.411683
829.1969198,2422.758879,1746.815932
829.1969198,2421.106698,1746.815932
829.4494158,2423.750188,1747.347849
828.4394318,2423.750188,1745.220181
828.4394318,2424.080624,1745.220181
831.974376,2422.098007,1752.667021
833.9943441,2424.411061,1756.922358
834.4993362,2424.411061,1757.986192
839.5492565,2424.411061,1768.624535
838.0342804,2425.40237,1765.433032
841.0642326,2422.758879,1771.816038
844.8516729,2425.40237,1779.794796
846.366649,2424.741497,1782.986298
848.1341211,2426.393678,1786.709719
850.4065852,2426.063242,1791.496973
852.1740574,2426.063242,1795.220393
855.4565056,2428.04586,1802.135316
856.9714817,2426.724115,1805.326819
858.9914498,2427.715424,1809.582156
860.7589219,2427.054551,1813.305576
862.7788901,2427.715424,1817.560913
866.0613383,2427.715424,1824.475836
867.5763144,2429.698041,1827.667339
870.3537706,2428.04586,1833.518428
871.3637546,2429.037169,1835.646097
873.1312268,2429.037169,1839.369517
874.1412108,2429.037169,1841.497185
876.413675,2429.037169,1846.28444
877.9286511,2431.019787,1849.475943
880.7061073,2429.037169,1855.327031
881.4635953,2429.037169,1856.922783
882.9785714,2431.019787,1860.114286
884.7460435,2430.028478,1863.837706
886.5135157,2431.019787,1867.561126
888.2809878,2430.028478,1871.284546
889.0384758,2431.350223,1872.880297
891.058444,2429.698041,1877.135635
891.31094,2430.028478,1877.667552
892.5734201,2431.680659,1880.327138
893.8359002,2428.706733,1882.986723
895.3508763,2429.367605,1886.178226
896.1083643,2429.698041,1887.773978
897.1183484,2428.376296,1889.901646
898.6333245,2430.028478,1893.093149
898.6333245,2429.037169,1893.093149
897.1183484,2430.028478,1889.901646
896.6133563,2430.68935,1888.837812
894.8458842,2429.367605,1885.114392
898.1283324,2429.037169,1892.029315
896.6133563,2430.028478,1888.837812
896.3608603,2430.358914,1888.305895
896.8658524,2429.367605,1889.369729
896.8658524,2432.011095,1889.369729
897.3708444,2430.028478,1890.433563
897.1183484,2430.028478,1889.901646
896.3608603,2429.367605,1888.305895
896.3608603,2431.350223,1888.305895
896.1083643,2429.367605,1887.773978
895.8558683,2429.037169,1887.242061
894.0883962,2429.367605,1883.51864
893.3309081,2429.367605,1881.922889
894.0883962,2430.358914,1883.51864
893.5834041,2431.680659,1882.454806
892.5734201,2432.671968,1880.327138
893.0784121,2430.358914,1881.390972
893.3309081,2432.341532,1881.922889
893.3309081,2431.019787,1881.922889
893.0784121,2431.019787,1881.390972
893.5834041,2431.019787,1882.454806
880.9586033,2431.019787,1855.858948
846.1141529,2430.68935,1782.454381
872.3737387,2432.341532,1837.773765
887.2710037,2432.341532,1869.156877
890.0484599,2430.028478,1875.007966
893.0784121,2431.680659,1881.390972
895.3508763,2431.350223,1886.178226
897.6233404,2430.358914,1890.965481
900.4007966,2430.358914,1896.816569
902.1682687,2432.011095,1900.539989
904.9457249,2430.028478,1906.391078
906.965693,2431.350223,1910.646415
907.4706851,2430.028478,1911.71025
909.7431492,2432.341532,1916.497504
911.0056293,2430.028478,1919.15709
911.0056293,2429.367605,1919.15709
912.0156134,2430.028478,1921.284758
912.0156134,2429.698041,1921.284758
913.2780935,2430.028478,1923.944344
914.5405736,2429.698041,1926.60393
919.0855019,2428.04586,1936.178439
919.8429899,2427.715424,1937.77419
920.600478,2427.054551,1939.369942
922.6204461,2428.376296,1943.625279
925.1454063,2426.724115,1948.94445
926.6603824,2430.028478,1952.135953
926.6603824,2430.68935,1952.135953
926.1553903,2431.019787,1951.072119
925.1454063,2431.350223,1948.94445
924.3879182,2432.011095,1947.348699
925.3979023,2432.671968,1949.476367
925.3979023,2432.671968,1949.476367
924.8929102,2432.671968,1948.412533
924.6404142,2431.680659,1947.880616
924.8929102,2434.324149,1948.412533
924.3879182,2432.671968,1947.348699
924.1354222,2433.002404,1946.816782
924.3879182,2433.002404,1947.348699
923.8829262,2432.011095,1946.284865
923.1254381,2432.671968,1944.689113
921.357966,2431.350223,1940.965693
919.8429899,2432.341532,1937.77419
919.5904939,2432.011095,1937.242273
917.3180297,2431.680659,1932.455019
917.8230218,2433.332841,1933.518853
917.8230218,2433.993713,1933.518853
917.5705258,2433.002404,1932.986936
918.0755178,2433.332841,1934.05077
887.5234997,2433.663277,1869.688794
874.3937069,2432.671968,1842.029102
887.2710037,2434.324149,1869.156877
899.1383165,2434.324149,1894.156984
904.1882369,2433.663277,1904.795327
909.2381572,2435.315458,1915.43367
913.2780935,2433.002404,1923.944344
916.8130377,2433.663277,1931.391184
919.0855019,2433.663277,1936.178439
920.852974,2433.663277,1939.901859
922.6204461,2433.663277,1943.625279
923.6304302,2433.993713,1945.752947
925.1454063,2435.315458,1948.94445
926.9128784,2433.332841,1952.66787
927.6703664,2431.350223,1954.263622
927.1653744,2432.341532,1953.199788
925.9028943,2432.341532,1950.540202
925.9028943,2432.671968,1950.540202
927.6703664,2433.002404,1954.263622
927.6703664,2431.350223,1954.263622
927.9228625,2432.011095,1954.795539
928.4278545,2431.680659,1955.859373
927.6703664,2432.011095,1954.263622
927.1653744,2432.011095,1953.199788
928.4278545,2432.011095,1955.859373
928.9328465,2433.663277,1956.923208
928.6803505,2433.002404,1956.39129
928.6803505,2433.002404,1956.39129
928.6803505,2432.341532,1956.39129
928.1753585,2432.341532,1955.327456
928.6803505,2432.341532,1956.39129
928.9328465,2433.993713,1956.923208
930.1953266,2433.332841,1959.582793
929.6903346,2433.663277,1958.518959
930.4478226,2433.002404,1960.114711
919.5904939,2432.341532,1937.242273
913.0255975,2432.671968,1923.412427
914.0355815,2433.002404,1925.540096
914.5405736,2433.332841,1926.60393
914.0355815,2433.002404,1925.540096
913.5305895,2432.341532,1924.476261
914.0355815,2433.002404,1925.540096
915.2980616,2431.019787,1928.199681
914.5405736,2433.663277,1926.60393
914.5405736,2431.350223,1926.60393
915.0455656,2432.011095,1927.667764
915.0455656,2432.671968,1927.667764
915.8030536,2433.332841,1929.263516
915.8030536,2432.671968,1929.263516
916.5605417,2432.011095,1930.859267
916.5605417,2432.671968,1930.859267
916.5605417,2432.671968,1930.859267
916.5605417,2432.341532,1930.859267
916.0555497,2432.011095,1929.795433
916.3080457,2432.671968,1930.32735
917.0655337,2432.011095,1931.923101
917.8230218,2431.350223,1933.518853
919.5904939,2432.341532,1937.242273
916.0555497,2429.698041,1929.795433
917.8230218,2432.011095,1933.518853
917.5705258,2431.680659,1932.986936
918.3280138,2430.028478,1934.582687
917.5705258,2432.011095,1932.986936
916.8130377,2428.706733,1931.391184
916.3080457,2429.698041,1930.32735
916.3080457,2427.715424,1930.32735
915.8030536,2428.706733,1929.263516
916.8130377,2427.054551,1931.391184
917.5705258,2428.706733,1932.986936
918.8330058,2429.037169,1935.646522
920.3479819,2429.037169,1938.838024
922.8729421,2429.698041,1944.157196
924.6404142,2429.037169,1947.880616
926.6603824,2430.028478,1952.135953
928.6803505,2429.367605,1956.39129
929.6903346,2430.028478,1958.518959
931.9627987,2430.68935,1963.306213
933.2252788,2433.332841,1965.965799
933.9827669,2433.002404,1967.561551
933.9827669,2433.663277,1967.561551
934.2352629,2433.002404,1968.093468
934.2352629,2434.985022,1968.093468
935.2452469,2435.976331,1970.221136
935.2452469,2434.324149,1970.221136
934.9927509,2434.985022,1969.689219
934.9927509,2434.985022,1969.689219
934.2352629,2433.332841,1968.093468
934.2352629,2434.324149,1968.093468
933.2252788,2433.993713,1965.965799
933.7302708,2433.002404,1967.029634
934.2352629,2434.654586,1968.093468
932.4677908,2432.011095,1964.370048
932.9727828,2434.324149,1965.433882
932.2152947,2434.654586,1963.838131
932.9727828,2433.002404,1965.433882
932.2152947,2434.654586,1963.838131
932.2152947,2433.993713,1963.838131
932.9727828,2434.985022,1965.433882
933.2252788,2435.645895,1965.965799
931.4578067,2434.985022,1962.242379
933.2252788,2435.315458,1965.965799
931.9627987,2434.654586,1963.306213
931.9627987,2435.645895,1963.306213
931.4578067,2435.315458,1962.242379
931.2053107,2434.985022,1961.710462
930.7003186,2434.985022,1960.646628
932.4677908,2436.96764,1964.370048
931.9627987,2435.315458,1963.306213
931.7103027,2435.315458,1962.774296
930.9528147,2436.306767,1961.178545
932.2152947,2435.645895,1963.838131
931.2053107,2435.976331,1961.710462
931.7103027,2434.324149,1962.774296
931.9627987,2435.645895,1963.306213
930.9528147,2433.993713,1961.178545
931.2053107,2425.40237,1961.710462
930.1953266,2423.750188,1959.582793
930.7003186,2422.098007,1960.646628
931.2053107,2425.071933,1961.710462
930.7003186,2432.011095,1960.646628
931.4578067,2433.332841,1962.242379
930.9528147,2433.663277,1961.178545
931.4578067,2432.671968,1962.242379
930.7003186,2434.654586,1960.646628
931.4578067,2432.011095,1962.242379
931.2053107,2429.698041,1961.710462
930.9528147,2430.358914,1961.178545
930.1953266,2429.037169,1959.582793
930.7003186,2429.367605,1960.646628
929.6903346,2430.028478,1958.518959
930.4478226,2430.028478,1960.114711
930.7003186,2429.037169,1960.646628
930.1953266,2429.367605,1959.582793
930.9528147,2429.367605,1961.178545
931.2053107,2428.706733,1961.710462
930.9528147,2428.04586,1961.178545
