,source,sink,reactance,limit
0,n_218,n_29226,550.5443782812446,1466.75
1,n_218,n_1586,431.71499212336,1443.72
2,n_275,n_6024,16.40822885803814,4432.75
3,n_319,n_29015,60.04679206318316,9643.900000000001
4,n_319,n_6894,57.61015450409727,4810.4
5,n_319,n_19222,249.90778402769382,5292.58
6,n_319,n_6650,75.33629746506921,4895.14
7,n_319,n_22546,33.48450919544894,4643.44
8,n_319,n_29979,42.09413435496359,4713.13
9,n_321,n_28770,102.25228030253996,4993.47
10,n_321,n_19230,109.66695571220627,5016.27
11,n_322,n_7566,94.36616980361835,4967.44
12,n_322,n_20897,49.563084066871106,4763.51
13,n_322,n_20895,49.58540895789172,4763.65
14,n_322,n_1837,11.14133073279819,31560.62
15,n_322,n_6891,7.27702023835385,30697.5
16,n_322,n_22816,132.40413874153043,5078.18
17,n_322,n_19224,61.891927287383275,4832.9
18,n_322,n_334,71.10847156464663,4876.77
19,n_323,n_19224,18450.18450184502,7003.38
20,n_324,n_19224,71.18268102592181,4877.1
21,n_324,n_19233,370.5288743888589,5430.04
22,n_325,n_19223,497.6684234362014,5535.33
23,n_326,n_5117,79.12777141062976,1292.74
24,n_326,n_30944,136.45364615058807,5088.15
25,n_326,n_1517,43.72288661820392,4724.79
26,n_328,n_12439,456.48343421617227,1448.97
27,n_328,n_19233,302.28914500840517,5358.56
28,n_328,n_19230,2450.5719634962797,6140.64
29,n_333,n_334,149.27130971094954,5117.98
30,n_333,n_19233,308.1990818132955,5365.32
31,n_340,n_6903,650.8022765063632,6944.799999999999
32,n_340,n_6661,27.21450703043246,4581.19
33,n_340,n_18493,107.30074252113826,5009.16
34,n_340,n_6906,106.37779563506373,5006.34
35,n_340,n_6907,34.891017209924456,4655.89
36,n_1500,n_28711,34.41766887476663,1224.55
37,n_1500,n_3861,121.31509935039404,1329.21
38,n_1506,n_29226,179.44696956238448,1363.52
39,n_1506,n_28509,126.48400521215288,1332.82
40,n_1508,n_3484,284.01466083679236,1404.89
41,n_1508,n_5117,192.55456948360523,1369.79
42,n_1508,n_29226,279.0992351285461,1403.3
43,n_1514,n_6177,396.81563390107067,10712.17
44,n_1514,n_6178,302.57598061093114,5358.89
45,n_1514,n_22543,6562.713288181866,6547.33
46,n_1514,n_28509,14.229795256013938,4391.83
47,n_1517,n_20897,650.1358783985853,5632.47
48,n_1517,n_28509,27.93718112501464,4589.01
49,n_1517,n_20880,125.59454889515104,5060.76
50,n_1517,n_7592,38.835829221460465,4688.47
51,n_1517,n_20895,670.7029570622675,5643.9
52,n_1517,n_20882,317.5998597479019,5375.82
53,n_1517,n_20883,139.02090081929185,1341.05
54,n_1572,n_7041,26.975051934393115,4578.55
55,n_1572,n_1575,125.71013656143553,6241.84
56,n_1572,n_23849,30.939139958118925,4619.6
57,n_1572,n_7031,130.75797653077385,36471.65
58,n_1572,n_7026,25.446768921962903,4561.2
59,n_1575,n_28509,11.692000484095587,4336.03
60,n_1586,n_16162,2654.6746165322515,1624.93
61,n_1754,n_22541,10.436353216329083,4304.08
62,n_1754,n_7608,80.23065350113735,4915.24
