,Generator,Time,Value
0,Asheville_1,1,0.0
1,Asheville_1,2,0.0
2,Asheville_1,3,0.0
3,Asheville_1,4,0.0
4,Asheville_1,5,0.0
5,Asheville_1,6,0.0
6,Asheville_1,7,0.0
7,Asheville_1,8,0.0
8,Asheville_1,9,0.0
9,Asheville_1,10,0.0
10,Asheville_1,11,0.0
11,Asheville_1,12,0.0
12,Asheville_1,13,0.0
13,Asheville_1,14,0.0
14,Asheville_1,15,0.0
15,Asheville_1,16,0.0
16,Asheville_1,17,0.0
17,Asheville_1,18,0.0
18,Asheville_1,19,0.0
19,Asheville_1,20,0.0
20,Asheville_1,21,0.0
21,Asheville_1,22,0.0
22,Asheville_1,23,0.0
23,Asheville_1,24,0.0
24,Asheville_2,1,0.0
25,Asheville_2,2,0.0
26,Asheville_2,3,0.0
27,Asheville_2,4,0.0
28,Asheville_2,5,0.0
29,Asheville_2,6,0.0
30,Asheville_2,7,0.0
31,Asheville_2,8,0.0
32,Asheville_2,9,0.0
33,Asheville_2,10,0.0
34,Asheville_2,11,0.0
35,Asheville_2,12,0.0
36,Asheville_2,13,0.0
37,Asheville_2,14,0.0
38,Asheville_2,15,0.0
39,Asheville_2,16,0.0
40,Asheville_2,17,0.0
41,Asheville_2,18,0.0
42,Asheville_2,19,0.0
43,Asheville_2,20,0.0
44,Asheville_2,21,0.0
45,Asheville_2,22,0.0
46,Asheville_2,23,0.0
47,Asheville_2,24,0.0
48,BelewsCreek_1,1,1104.387269190946
49,BelewsCreek_1,2,543.57009410094
50,BelewsCreek_1,3,399.5027971525785
51,BelewsCreek_1,4,450.85801699086846
52,BelewsCreek_1,5,557.2042233163993
53,BelewsCreek_1,6,645.826062204862
54,BelewsCreek_1,7,728.994248494974
55,BelewsCreek_1,8,703.998345628195
56,BelewsCreek_1,9,502.6677072398261
57,BelewsCreek_1,10,201.35345577005796
58,BelewsCreek_1,11,0.0
59,BelewsCreek_1,12,0.0
60,BelewsCreek_1,13,0.0
61,BelewsCreek_1,14,0.0
62,BelewsCreek_1,15,0.0
63,BelewsCreek_1,16,0.0
64,BelewsCreek_1,17,0.0
65,BelewsCreek_1,18,0.0
66,BelewsCreek_1,19,0.0
67,BelewsCreek_1,20,0.0
68,BelewsCreek_1,21,249.07290713980728
69,BelewsCreek_1,22,574.4741202591233
70,BelewsCreek_1,23,685.8195069436961
71,BelewsCreek_1,24,789.8933593786965
72,BelewsCreek_2,1,1245.6
73,BelewsCreek_2,2,1245.6
74,BelewsCreek_2,3,1245.6
75,BelewsCreek_2,4,1245.6
76,BelewsCreek_2,5,1245.6
77,BelewsCreek_2,6,1245.6
78,BelewsCreek_2,7,1245.6
79,BelewsCreek_2,8,1245.6
80,BelewsCreek_2,9,1245.6
81,BelewsCreek_2,10,1245.6
82,BelewsCreek_2,11,1162.4546299350063
83,BelewsCreek_2,12,692.9861195898867
84,BelewsCreek_2,13,163.52744220128233
85,BelewsCreek_2,14,0.0
86,BelewsCreek_2,15,0.0
87,BelewsCreek_2,16,0.0
88,BelewsCreek_2,17,0.0
89,BelewsCreek_2,18,85.35843539906865
90,BelewsCreek_2,19,505.2896098607178
91,BelewsCreek_2,20,1024.2954553766306
92,BelewsCreek_2,21,1245.6
93,BelewsCreek_2,22,1245.6
94,BelewsCreek_2,23,1245.6
95,BelewsCreek_2,24,1245.6
96,CantonNorthCarolina_GEN8,1,0.0
97,CantonNorthCarolina_GEN8,2,0.0
98,CantonNorthCarolina_GEN8,3,0.0
99,CantonNorthCarolina_GEN8,4,0.0
100,CantonNorthCarolina_GEN8,5,0.0
101,CantonNorthCarolina_GEN8,6,7.5
102,CantonNorthCarolina_GEN8,7,7.5
103,CantonNorthCarolina_GEN8,8,7.5
104,CantonNorthCarolina_GEN8,9,7.5
105,CantonNorthCarolina_GEN8,10,0.0
106,CantonNorthCarolina_GEN8,11,0.0
107,CantonNorthCarolina_GEN8,12,0.0
108,CantonNorthCarolina_GEN8,13,0.0
109,CantonNorthCarolina_GEN8,14,0.0
110,CantonNorthCarolina_GEN8,15,0.0
111,CantonNorthCarolina_GEN8,16,0.0
112,CantonNorthCarolina_GEN8,17,0.0
113,CantonNorthCarolina_GEN8,18,0.0
114,CantonNorthCarolina_GEN8,19,0.0
115,CantonNorthCarolina_GEN8,20,0.0
116,CantonNorthCarolina_GEN8,21,0.0
117,CantonNorthCarolina_GEN8,22,1.4452222880000036
118,CantonNorthCarolina_GEN8,23,7.5
119,CantonNorthCarolina_GEN8,24,0.0
120,CantonNorthCarolina_GEN9,1,0.0
121,CantonNorthCarolina_GEN9,2,7.5
122,CantonNorthCarolina_GEN9,3,7.5
123,CantonNorthCarolina_GEN9,4,7.5
124,CantonNorthCarolina_GEN9,5,7.5
125,CantonNorthCarolina_GEN9,6,6.596096095000004
126,CantonNorthCarolina_GEN9,7,6.771955376000001
127,CantonNorthCarolina_GEN9,8,6.719101496
128,CantonNorthCarolina_GEN9,9,6.2933875000000015
129,CantonNorthCarolina_GEN9,10,7.5
130,CantonNorthCarolina_GEN9,11,7.5
131,CantonNorthCarolina_GEN9,12,7.5
132,CantonNorthCarolina_GEN9,13,7.5
133,CantonNorthCarolina_GEN9,14,7.5
134,CantonNorthCarolina_GEN9,15,7.5
135,CantonNorthCarolina_GEN9,16,7.5
136,CantonNorthCarolina_GEN9,17,7.5
137,CantonNorthCarolina_GEN9,18,7.5
138,CantonNorthCarolina_GEN9,19,7.5
139,CantonNorthCarolina_GEN9,20,7.5
140,CantonNorthCarolina_GEN9,21,7.5
141,CantonNorthCarolina_GEN9,22,0.0
142,CantonNorthCarolina_GEN9,23,0.0
143,CantonNorthCarolina_GEN9,24,4.400726650999999
144,CantonNorthCarolina_GN10,1,7.5
145,CantonNorthCarolina_GN10,2,6.3798756700000006
146,CantonNorthCarolina_GN10,3,6.075245115999998
147,CantonNorthCarolina_GN10,4,3.6838358190000022
148,CantonNorthCarolina_GN10,5,6.408705062999999
149,CantonNorthCarolina_GN10,6,0.0
150,CantonNorthCarolina_GN10,7,0.0
151,CantonNorthCarolina_GN10,8,0.0
152,CantonNorthCarolina_GN10,9,0.0
153,CantonNorthCarolina_GN10,10,5.6562579799999995
154,CantonNorthCarolina_GN10,11,5.0546847080000035
155,CantonNorthCarolina_GN10,12,4.061992710000002
156,CantonNorthCarolina_GN10,13,2.942451394999999
157,CantonNorthCarolina_GN10,14,2.1419553329999985
158,CantonNorthCarolina_GN10,15,1.8699980849999989
159,CantonNorthCarolina_GN10,16,1.9218909870000012
160,CantonNorthCarolina_GN10,17,2.188082354999999
161,CantonNorthCarolina_GN10,18,2.7771628930000034
162,CantonNorthCarolina_GN10,19,3.6651081079999983
163,CantonNorthCarolina_GN10,20,4.762546886999999
164,CantonNorthCarolina_GN10,21,5.757160845999998
165,CantonNorthCarolina_GN10,22,7.5
166,CantonNorthCarolina_GN10,23,7.5
167,CantonNorthCarolina_GN10,24,0.0
168,CantonNorthCarolina_GN11,1,5.065724581999998
169,CantonNorthCarolina_GN11,2,7.5
170,CantonNorthCarolina_GN11,3,7.5
171,CantonNorthCarolina_GN11,4,0.0
172,CantonNorthCarolina_GN11,5,7.5
173,CantonNorthCarolina_GN11,6,7.5
174,CantonNorthCarolina_GN11,7,7.5
175,CantonNorthCarolina_GN11,8,7.5
176,CantonNorthCarolina_GN11,9,7.5
177,CantonNorthCarolina_GN11,10,7.5
178,CantonNorthCarolina_GN11,11,7.5
179,CantonNorthCarolina_GN11,12,7.5
180,CantonNorthCarolina_GN11,13,7.5
181,CantonNorthCarolina_GN11,14,7.5
182,CantonNorthCarolina_GN11,15,7.5
183,CantonNorthCarolina_GN11,16,7.5
184,CantonNorthCarolina_GN11,17,7.5
185,CantonNorthCarolina_GN11,18,7.5
186,CantonNorthCarolina_GN11,19,7.5
187,CantonNorthCarolina_GN11,20,7.5
188,CantonNorthCarolina_GN11,21,7.5
189,CantonNorthCarolina_GN11,22,0.0
190,CantonNorthCarolina_GN11,23,6.680662308000002
191,CantonNorthCarolina_GN11,24,7.5
192,CantonNorthCarolina_GN12,1,10.0
193,CantonNorthCarolina_GN12,2,0.0
194,CantonNorthCarolina_GN12,3,0.0
195,CantonNorthCarolina_GN12,4,10.0
196,CantonNorthCarolina_GN12,5,0.0
197,CantonNorthCarolina_GN12,6,0.0
198,CantonNorthCarolina_GN12,7,0.0
199,CantonNorthCarolina_GN12,8,0.0
200,CantonNorthCarolina_GN12,9,0.0
201,CantonNorthCarolina_GN12,10,0.0
202,CantonNorthCarolina_GN12,11,0.0
203,CantonNorthCarolina_GN12,12,0.0
204,CantonNorthCarolina_GN12,13,0.0
205,CantonNorthCarolina_GN12,14,0.0
206,CantonNorthCarolina_GN12,15,0.0
207,CantonNorthCarolina_GN12,16,0.0
208,CantonNorthCarolina_GN12,17,0.0
209,CantonNorthCarolina_GN12,18,0.0
210,CantonNorthCarolina_GN12,19,0.0
211,CantonNorthCarolina_GN12,20,0.0
212,CantonNorthCarolina_GN12,21,0.0
213,CantonNorthCarolina_GN12,22,0.0
214,CantonNorthCarolina_GN12,23,0.0
215,CantonNorthCarolina_GN12,24,10.0
216,CantonNorthCarolina_GN13,1,0.0
217,CantonNorthCarolina_GN13,2,0.0
218,CantonNorthCarolina_GN13,3,0.0
219,CantonNorthCarolina_GN13,4,0.0
220,CantonNorthCarolina_GN13,5,0.0
221,CantonNorthCarolina_GN13,6,0.0
222,CantonNorthCarolina_GN13,7,0.0
223,CantonNorthCarolina_GN13,8,0.0
224,CantonNorthCarolina_GN13,9,0.0
225,CantonNorthCarolina_GN13,10,0.0
226,CantonNorthCarolina_GN13,11,0.0
227,CantonNorthCarolina_GN13,12,0.0
228,CantonNorthCarolina_GN13,13,0.0
229,CantonNorthCarolina_GN13,14,0.0
230,CantonNorthCarolina_GN13,15,0.0
231,CantonNorthCarolina_GN13,16,0.0
232,CantonNorthCarolina_GN13,17,0.0
233,CantonNorthCarolina_GN13,18,0.0
234,CantonNorthCarolina_GN13,19,0.0
235,CantonNorthCarolina_GN13,20,0.0
236,CantonNorthCarolina_GN13,21,0.0
237,CantonNorthCarolina_GN13,22,12.5
238,CantonNorthCarolina_GN13,23,0.0
239,CantonNorthCarolina_GN13,24,0.0
240,EdgecombeGencoLLC_GEN1,1,0.0
241,EdgecombeGencoLLC_GEN1,2,0.0
242,EdgecombeGencoLLC_GEN1,3,0.0
243,EdgecombeGencoLLC_GEN1,4,0.0
244,EdgecombeGencoLLC_GEN1,5,0.0
245,EdgecombeGencoLLC_GEN1,6,0.0
246,EdgecombeGencoLLC_GEN1,7,0.0
247,EdgecombeGencoLLC_GEN1,8,0.0
248,EdgecombeGencoLLC_GEN1,9,0.0
249,EdgecombeGencoLLC_GEN1,10,0.0
250,EdgecombeGencoLLC_GEN1,11,0.0
251,EdgecombeGencoLLC_GEN1,12,0.0
252,EdgecombeGencoLLC_GEN1,13,0.0
253,EdgecombeGencoLLC_GEN1,14,0.0
254,EdgecombeGencoLLC_GEN1,15,0.0
255,EdgecombeGencoLLC_GEN1,16,0.0
256,EdgecombeGencoLLC_GEN1,17,0.0
257,EdgecombeGencoLLC_GEN1,18,0.0
258,EdgecombeGencoLLC_GEN1,19,0.0
259,EdgecombeGencoLLC_GEN1,20,0.0
260,EdgecombeGencoLLC_GEN1,21,0.0
261,EdgecombeGencoLLC_GEN1,22,0.0
262,EdgecombeGencoLLC_GEN1,23,0.0
263,EdgecombeGencoLLC_GEN1,24,0.0
264,EdgecombeGencoLLC_GEN2,1,0.0
265,EdgecombeGencoLLC_GEN2,2,0.0
266,EdgecombeGencoLLC_GEN2,3,0.0
267,EdgecombeGencoLLC_GEN2,4,0.0
268,EdgecombeGencoLLC_GEN2,5,0.0
269,EdgecombeGencoLLC_GEN2,6,0.0
270,EdgecombeGencoLLC_GEN2,7,0.0
271,EdgecombeGencoLLC_GEN2,8,0.0
272,EdgecombeGencoLLC_GEN2,9,0.0
273,EdgecombeGencoLLC_GEN2,10,0.0
274,EdgecombeGencoLLC_GEN2,11,0.0
275,EdgecombeGencoLLC_GEN2,12,0.0
276,EdgecombeGencoLLC_GEN2,13,0.0
277,EdgecombeGencoLLC_GEN2,14,0.0
278,EdgecombeGencoLLC_GEN2,15,0.0
279,EdgecombeGencoLLC_GEN2,16,0.0
280,EdgecombeGencoLLC_GEN2,17,0.0
281,EdgecombeGencoLLC_GEN2,18,0.0
282,EdgecombeGencoLLC_GEN2,19,0.0
283,EdgecombeGencoLLC_GEN2,20,0.0
284,EdgecombeGencoLLC_GEN2,21,0.0
285,EdgecombeGencoLLC_GEN2,22,0.0
286,EdgecombeGencoLLC_GEN2,23,0.0
287,EdgecombeGencoLLC_GEN2,24,0.0
288,GGAllen_1,1,0.0
289,GGAllen_1,2,0.0
290,GGAllen_1,3,0.0
291,GGAllen_1,4,0.0
292,GGAllen_1,5,0.0
293,GGAllen_1,6,0.0
294,GGAllen_1,7,0.0
295,GGAllen_1,8,0.0
296,GGAllen_1,9,0.0
297,GGAllen_1,10,0.0
298,GGAllen_1,11,0.0
299,GGAllen_1,12,0.0
300,GGAllen_1,13,0.0
301,GGAllen_1,14,0.0
302,GGAllen_1,15,0.0
303,GGAllen_1,16,0.0
304,GGAllen_1,17,0.0
305,GGAllen_1,18,0.0
306,GGAllen_1,19,0.0
307,GGAllen_1,20,0.0
308,GGAllen_1,21,0.0
309,GGAllen_1,22,0.0
310,GGAllen_1,23,0.0
311,GGAllen_1,24,0.0
312,GGAllen_2,1,0.0
313,GGAllen_2,2,0.0
314,GGAllen_2,3,0.0
315,GGAllen_2,4,0.0
316,GGAllen_2,5,0.0
317,GGAllen_2,6,0.0
318,GGAllen_2,7,0.0
319,GGAllen_2,8,0.0
320,GGAllen_2,9,0.0
321,GGAllen_2,10,0.0
322,GGAllen_2,11,0.0
323,GGAllen_2,12,0.0
324,GGAllen_2,13,0.0
325,GGAllen_2,14,0.0
326,GGAllen_2,15,0.0
327,GGAllen_2,16,0.0
328,GGAllen_2,17,0.0
329,GGAllen_2,18,0.0
330,GGAllen_2,19,0.0
331,GGAllen_2,20,0.0
332,GGAllen_2,21,0.0
333,GGAllen_2,22,0.0
334,GGAllen_2,23,0.0
335,GGAllen_2,24,0.0
336,GGAllen_3,1,0.0
337,GGAllen_3,2,0.0
338,GGAllen_3,3,0.0
339,GGAllen_3,4,0.0
340,GGAllen_3,5,0.0
341,GGAllen_3,6,0.0
342,GGAllen_3,7,0.0
343,GGAllen_3,8,0.0
344,GGAllen_3,9,0.0
345,GGAllen_3,10,0.0
346,GGAllen_3,11,0.0
347,GGAllen_3,12,0.0
348,GGAllen_3,13,0.0
349,GGAllen_3,14,0.0
350,GGAllen_3,15,0.0
351,GGAllen_3,16,0.0
352,GGAllen_3,17,0.0
353,GGAllen_3,18,0.0
354,GGAllen_3,19,0.0
355,GGAllen_3,20,0.0
356,GGAllen_3,21,0.0
357,GGAllen_3,22,0.0
358,GGAllen_3,23,0.0
359,GGAllen_3,24,0.0
360,GGAllen_4,1,0.0
361,GGAllen_4,2,0.0
362,GGAllen_4,3,0.0
363,GGAllen_4,4,0.0
364,GGAllen_4,5,0.0
365,GGAllen_4,6,0.0
366,GGAllen_4,7,0.0
367,GGAllen_4,8,0.0
368,GGAllen_4,9,0.0
369,GGAllen_4,10,0.0
370,GGAllen_4,11,0.0
371,GGAllen_4,12,0.0
372,GGAllen_4,13,0.0
373,GGAllen_4,14,0.0
374,GGAllen_4,15,0.0
375,GGAllen_4,16,0.0
376,GGAllen_4,17,0.0
377,GGAllen_4,18,0.0
378,GGAllen_4,19,0.0
379,GGAllen_4,20,0.0
380,GGAllen_4,21,0.0
381,GGAllen_4,22,0.0
382,GGAllen_4,23,0.0
383,GGAllen_4,24,0.0
384,GGAllen_5,1,0.0
385,GGAllen_5,2,0.0
386,GGAllen_5,3,0.0
387,GGAllen_5,4,0.0
388,GGAllen_5,5,0.0
389,GGAllen_5,6,0.0
390,GGAllen_5,7,0.0
391,GGAllen_5,8,0.0
392,GGAllen_5,9,0.0
393,GGAllen_5,10,0.0
394,GGAllen_5,11,0.0
395,GGAllen_5,12,0.0
396,GGAllen_5,13,0.0
397,GGAllen_5,14,0.0
398,GGAllen_5,15,0.0
399,GGAllen_5,16,0.0
400,GGAllen_5,17,0.0
401,GGAllen_5,18,0.0
402,GGAllen_5,19,0.0
403,GGAllen_5,20,0.0
404,GGAllen_5,21,0.0
405,GGAllen_5,22,0.0
406,GGAllen_5,23,0.0
407,GGAllen_5,24,0.0
408,JamesERogersEnergyComplex_5,1,0.0
409,JamesERogersEnergyComplex_5,2,0.0
410,JamesERogersEnergyComplex_5,3,0.0
411,JamesERogersEnergyComplex_5,4,0.0
412,JamesERogersEnergyComplex_5,5,0.0
413,JamesERogersEnergyComplex_5,6,0.0
414,JamesERogersEnergyComplex_5,7,0.0
415,JamesERogersEnergyComplex_5,8,0.0
416,JamesERogersEnergyComplex_5,9,0.0
417,JamesERogersEnergyComplex_5,10,0.0
418,JamesERogersEnergyComplex_5,11,0.0
419,JamesERogersEnergyComplex_5,12,0.0
420,JamesERogersEnergyComplex_5,13,0.0
421,JamesERogersEnergyComplex_5,14,0.0
422,JamesERogersEnergyComplex_5,15,0.0
423,JamesERogersEnergyComplex_5,16,0.0
